itemid|itemname|itemunitprice|itemsugar|itemunitcalorie|itemavailableunits|itemflavorids|itemtypeids|itemtoppingids|itemimage|itemdescription
bt0001|Fresh Sourdough|9.99|4|300|Unlimited|NA|NA|NA|1-sourdough.jpg|Wholesome Bread for all - Super beneficial for your day-to-day health.
bt0002|Chocolate Chip Cookies|1.99|24|400|Unlimited|NA|NA|NA|2-cookies.jpg|Delicious chocolate chip cookies for everyday of the week - Comes with an extra treat on special occasions
bt0003|Cupcake|1.99|12|200|Unlimited|f3_1,f3_2,f3_3|NA|top2_1,top2_2,top2_3|3-cupcakes.jpg|Tasty on the outside, healthy in the inside - Sharing love with cupcakes.
bt0004|Muffins|1.99|10|100|Unlimited|f4_1,f4_2,f4_3,f4_4|NA|NA|4-muffins.jpg|Irrestible Muffins with your favorite toppings.
bt0005|Classic Brownies|3.99|15|400|Unlimited|NA|NA|NA|5-brownies.jpg|Classic brownies are something you cannot say no to.
bt0007|Cinnamon Rolls|2.99|5|184|Unlimited|NA|NA|NA|newCinnamonRoll.jpg|Cinnamon rolls are a beloved sweet treat that have been enjoyed for generations. Perfect for breakfast, brunch, or a sweet snack, cinnamon rolls are a classic pastry that never goes out of style. Whether you prefer them homemade or from your favorite bakery, cinnamon rolls are a delicious way to treat yourself any time of day.
bt0008|Pie|9.99|45|1500|Unlimited|NA|NA|NA|newPie.jpg|Pie is a timeless classic that is loved by many for its flaky crust and delicious filling. Our pies are handmade daily using only the freshest ingredients, from our homemade crusts to our locally sourced fruits and fillings. With a perfect balance of sweet and savory, our pies are a crowd-pleasing dessert that will have your taste buds singing. Whether you're celebrating a special occasion or simply looking to indulge in something sweet, our bakery's pies are sure to satisfy your cravings.
bt0009|Croissant|1.99|2|80|Unlimited|NA|NA|NA|newCrossiant.jpg|Croissants are a staple pastry that originated in France and have since become a beloved breakfast treat around the world. Our bakery takes pride in crafting the perfect croissants - buttery, flaky, and irresistibly delicious. Made with a delicate pastry dough that is carefully layered with butter and folded multiple times, our croissants have a crisp exterior and a soft, airy interior. From classic butter croissants to chocolate-filled delights, our selection offers something for every taste bud. Each croissant is baked fresh daily, ensuring the highest quality and freshness for our customers. Whether you enjoy them on their own or paired with a steaming cup of coffee, our croissants are a true delight that will transport you to the streets of Paris with every bite.
bt0010|Churros(3 per pac)|4.99|6|50|Unlimited|NA|NA|NA|newChurro.jpg|Churros are a beloved Spanish pastry that have become a popular dessert around the world. Our bakery takes pride in crafting the perfect churros - crispy on the outside and soft on the inside. Made from a simple dough that is piped into long, thin shapes and fried until golden brown, our churros are dusted with cinnamon sugar for a sweet, comforting flavor. Served hot and fresh, they are a perfect treat on their own or paired with a rich chocolate dipping sauce for an extra indulgence. Whether you enjoy them for breakfast or as an afternoon snack, our churros are a delicious way to satisfy your sweet tooth. With their unique shape and delicious taste, churros are a true crowd-pleaser that will leave you coming back for more.
bt0011|Macaroons(3 per pac)|3.99|6|45|Unlimited|f11_1,f11_2,f11_3,f11_4,f11_5,f11_6,f11_7,f11_8|NA|NA|newMacaron.jpg|Macarons are a delicate and sophisticated French pastry that are known for their crisp, airy shells and rich, creamy fillings. Our bakery takes pride in crafting the perfect macarons, using only the finest ingredients to create a range of delectable flavors. From classic vanilla and chocolate to more adventurous options like lavender and pistachio, each macaron is filled with a smooth and flavorful ganache or buttercream. These sweet treats are perfect for special occasions, weddings, or simply as a decadent indulgence. Each macaron is carefully made by hand, ensuring the highest quality and attention to detail. At our bakery, we strive to create macarons that not only look beautiful but taste even better. With a range of flavors to choose from, our macarons are a luxurious treat that will satisfy your sweet tooth and leave you wanting more.
